Dates,CRH LN,FGR FP,DG FP,EO FP
01/01/2019,16896.0247,7150.08,43031.1861,4564.8439
02/01/2019,17002.0838,7071.68,42684.6422,4303.9563
03/01/2019,16900.6504,7106.96,42543.1381,4185.2455
04/01/2019,17607.2729,7220.64,43367.7101,4451.6546
07/01/2019,17343.9205,7244.16,43152.6044,4610.3958
08/01/2019,17511.6307,7397.04,43702.3191,4828.4923
09/01/2019,17957.1391,7230.44,43558.9152,5136.3122
10/01/2019,18054.5644,7318.64,43666.4681,4843.6763
11/01/2019,17815.8184,7287.28,43606.7165,4719.444
14/01/2019,17788.0826,7301,43642.5675,4860.2406
15/01/2019,17850.597,7473.48,43893.5242,4816.0691
16/01/2019,17855.5713,7491.12,44108.6299,4966.5281
17/01/2019,17665.5342,7534.24,44443.2389,4867.1423
18/01/2019,18167.0223,7685.16,45064.6555,5163.9193
21/01/2019,18043.5418,7716.52,44658.3446,5121.1282
22/01/2019,18015.7424,7745.92,44651.676,5070.055
23/01/2019,17662.3871,7685.16,44771.3214,4974.8103
24/01/2019,17683.9076,7818.44,45225.9741,5242.5997
25/01/2019,18046.7976,7859.6,45967.7757,5491.0642
28/01/2019,18054.4094,7830.2,45704.5558,5370.973
29/01/2019,17880.1978,7851.76,45991.7048,5184.6247
30/01/2019,18015.4644,8067.36,46051.5275,5264.6855
31/01/2019,17802.86,8028.16,45991.7048,5267.4462
01/02/2019,18290.6096,8041.88,46207.0666,5300.5748
04/02/2019,18338.8173,7967.4,45928.2879,5155.6372
05/02/2019,18719.668,8016.4,46682.1916,5248.1212
06/02/2019,19101.4831,8028.16,46383.0235,5354.4087
07/02/2019,18638.2802,7953.68,45976.1548,5006.5585
08/02/2019,18739.7461,7794.92,45593.2197,4788.4619
11/02/2019,19133.9945,7885.08,45976.1548,4967.9085
12/02/2019,19198.7982,7918.4,46742.0252,5203.9497
13/02/2019,19343.2675,7992.88,47172.8273,5231.5569
14/02/2019,19187.888,8036,47328.3947,5199.8086
15/02/2019,19199.2559,8081.08,48178.0321,5438.6106
18/02/2019,19334.8913,8126.16,48142.1319,5510.3892
19/02/2019,19414.5497,8159.48,48034.4314,5645.6643
20/02/2019,19593.1863,8198.68,48489.1669,5805.7858
21/02/2019,19648.046,8198.68,49099.4699,5693.9768
22/02/2019,19402.2861,8286.88,49278.9707,5677.4125
25/02/2019,19471.9099,8386.84,49159.3035,5877.5644
26/02/2019,19258.0541,8412.32,49637.9725,5820.9697
27/02/2019,19141.6548,8255.52,49506.3385,5762.9947
